,Year,Player,Age,Tm,Pos,MVP,Share,Win_Ratio,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,1980,Kareem Abdul-Jabbar,32.0,LAL,C,1,0.665,0.7317073170731707,82.0,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,25.3,0.639,0.001,0.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,9.5,5.3,14.8,0.227,4.8,2.4,7.2,7.3
1,1980,Julius Erving,29.0,PHI,SF,-1,0.143,0.7195121951219512,78.0,36.1,10.7,20.7,0.519,0.1,0.3,0.2,10.7,20.4,0.523,0.52,5.4,6.8,0.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9,25.4,0.568,0.012,0.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,7.3,5.2,12.5,0.213,5.7,1.9,7.6,6.8
2,1980,George Gervin,27.0,SAS,SG,-1,0.086,0.5,78.0,37.6,13.1,24.9,0.528,0.4,1.3,0.314,12.7,23.6,0.54,0.536,6.5,7.6,0.852,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1,24.0,0.587,0.053,0.306,5.7,8.9,7.3,11.0,1.6,1.4,10.3,31.7,9.3,1.3,10.6,0.173,5.5,-1.6,3.9,4.4
3,1980,Larry Bird,23.0,BOS,PF,-1,0.068,0.7439024390243902,82.0,36.0,8.5,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.481,0.494,3.7,4.4,0.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3,20.5,0.538,0.098,0.246,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,5.6,5.6,11.2,0.182,3.0,1.5,4.5,4.8
4,1980,Tiny Archibald,31.0,BOS,PG,-1,0.009,0.7439024390243902,80.0,35.8,4.8,9.9,0.482,0.1,0.2,0.222,4.7,9.7,0.488,0.485,4.5,5.4,0.83,0.7,1.7,2.5,8.4,1.3,0.1,3.0,2.7,14.1,15.3,0.574,0.023,0.548,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17.0,5.9,2.9,8.9,0.148,1.4,-0.3,1.1,2.3
5,1980,Dennis Johnson,25.0,SEA,SG,-1,0.009,0.6829268292682927,81.0,36.3,7.1,16.8,0.422,0.1,0.7,0.207,6.9,16.1,0.431,0.426,4.7,6.0,0.78,2.1,3.0,5.1,4.1,1.8,1.0,2.8,3.3,19.0,15.9,0.489,0.043,0.358,6.2,8.7,7.4,16.1,2.3,1.5,12.6,24.2,3.0,4.4,7.4,0.12,0.5,0.8,1.3,2.5
6,1980,Dan Roundfield,26.0,ATL,PF,-1,0.009,0.6097560975609756,81.0,32.0,6.2,12.4,0.499,0.0,0.0,0.0,6.2,12.4,0.5,0.499,4.1,5.7,0.71,3.6,6.7,10.3,2.3,1.2,1.7,2.9,3.9,16.5,19.7,0.551,0.004,0.462,12.1,22.7,17.3,11.3,1.9,3.2,16.1,22.8,4.0,5.1,9.1,0.169,1.6,1.4,2.9,3.2
7,1980,Gus Williams,26.0,SEA,PG,-1,0.0069999999999999,0.6829268292682927,82.0,36.2,9.0,18.7,0.482,0.1,0.4,0.194,8.9,18.3,0.489,0.484,4.0,5.1,0.788,1.5,1.8,3.4,4.8,2.4,0.5,2.2,2.0,22.1,20.6,0.529,0.023,0.274,4.5,5.3,4.9,20.7,3.2,0.7,9.5,25.2,7.2,4.4,11.6,0.187,3.1,1.6,4.7,5.0
8,1980,Moses Malone,24.0,HOU,C,-1,0.005,0.5,82.0,38.3,9.5,18.9,0.502,0.0,0.1,0.0,9.5,18.8,0.504,0.502,6.9,9.5,0.719,7.0,7.5,14.5,1.8,1.0,1.3,3.7,2.6,25.8,24.1,0.56,0.004,0.505,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,8.9,3.0,11.9,0.183,4.5,-2.4,2.1,3.2
9,1981,Julius Erving,30.0,PHI,SF,1,0.6579999999999999,0.7560975609756098,82.0,35.0,9.7,18.6,0.521,0.0,0.2,0.222,9.6,18.4,0.525,0.522,5.1,6.5,0.787,3.0,5.0,8.0,4.4,2.1,1.8,3.2,2.8,24.6,25.1,0.572,0.012,0.352,10.0,14.6,12.5,19.8,2.8,2.8,13.1,28.4,7.8,6.1,13.8,0.231,5.2,2.3,7.5,6.9
