,Unnamed: 0,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP,Year,Win Ratio
0,0,1,Kareem Abdul-Jabbar,32,LAL,147.0,147.0,221,0.665,82,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8,0.227,1,1980,0.7317073170731707
1,1,2,Julius Erving,29,PHI,31.5,31.5,221,0.14300000000000002,78,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213,-1,1980,0.7195121951219512
2,2,3,George Gervin,27,SAS,19.0,19.0,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1.0,0.528,0.314,0.852,10.6,0.173,-1,1980,0.5
3,3,4,Larry Bird,23,BOS,15.0,15.0,221,0.068,82,36.0,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,-1,1980,0.7439024390243902
4,4,5T,Tiny Archibald,31,BOS,2.0,2.0,221,0.009000000000000001,80,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.14800000000000002,-1,1980,0.7439024390243902
5,5,5T,Dennis Johnson,25,SEA,2.0,2.0,221,0.009000000000000001,81,36.3,19.0,5.1,4.1,1.8,1.0,0.422,0.207,0.78,7.4,0.12,-1,1980,0.6829268292682927
6,6,5T,Dan Roundfield,26,ATL,2.0,2.0,221,0.009000000000000001,81,32.0,16.5,10.3,2.3,1.2,1.7,0.499,0.0,0.71,9.1,0.16899999999999998,-1,1980,0.6097560975609756
7,7,8,Gus Williams,26,SEA,1.5,1.5,221,0.006999999999999999,82,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.7879999999999999,11.6,0.187,-1,1980,0.6829268292682927
8,8,9,Moses Malone,24,HOU,1.0,1.0,221,0.005,82,38.3,25.8,14.5,1.8,1.0,1.3,0.502,0.0,0.7190000000000001,11.9,0.183,-1,1980,0.5
9,9,1,Julius Erving,30,PHI,28.0,454.0,690,0.6579999999999999,82,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,1,1981,0.7560975609756098
10,10,2,Larry Bird,24,BOS,20.0,423.0,690,0.613,82,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,10.8,0.16,-1,1981,0.7560975609756098
11,11,3,Kareem Abdul-Jabbar,33,LAL,8.0,286.0,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.7659999999999999,14.3,0.23,-1,1981,0.6585365853658537
12,12,4,Moses Malone,25,HOU,8.0,180.0,690,0.261,80,40.6,27.8,14.8,1.8,1.0,1.9,0.522,0.333,0.757,13.7,0.202,-1,1981,0.4878048780487805
13,13,5,George Gervin,28,SAS,1.0,83.0,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.4920000000000001,0.257,0.826,10.5,0.182,-1,1981,0.6341463414634146
14,14,6,Marques Johnson,24,MIL,1.0,73.0,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0.0,0.706,11.2,0.211,-1,1981,0.7317073170731707
15,15,7,Robert Parish,27,BOS,0.0,53.0,690,0.077,82,28.0,18.9,9.5,1.8,1.0,2.6,0.545,0.0,0.71,10.9,0.228,-1,1981,0.7560975609756098
16,16,8,Dennis Johnson,26,PHO,0.0,50.0,690,0.07200000000000001,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.21600000000000005,0.82,8.4,0.154,-1,1981,0.6951219512195121
17,17,9,Tiny Archibald,32,BOS,0.0,32.0,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,6.9,0.118,-1,1981,0.7560975609756098
18,18,10,Jamaal Wilkes,27,LAL,0.0,19.0,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135,-1,1981,0.6585365853658537
19,19,11,Magic Johnson,21,LAL,0.0,18.0,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.17600000000000002,0.76,6.4,0.225,-1,1981,0.6585365853658537
20,20,12T,Adrian Dantley,25,UTA,1.0,15.0,690,0.022,80,42.7,30.7,6.4,4.0,1.4,0.2,0.5589999999999999,0.28600000000000003,0.8059999999999999,13.6,0.191,-1,1981,0.34146341463414637
21,21,12T,Phil Ford,24,KCK,1.0,15.0,690,0.022,66,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,0.11,-1,1981,0.4878048780487805
22,22,14,Bernard King,24,GSW,0.0,12.0,690,0.017,81,36.0,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,0.15,-1,1981,0.47560975609756095
23,23,15T,Kelvin Ransey,22,POR,1.0,11.0,690,0.016,80,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.7490000000000001,2.8,0.056,-1,1981,0.5487804878048781
24,24,15T,Jack Sikma,25,SEA,0.0,11.0,690,0.016,82,35.6,18.7,10.4,3.0,1.0,1.1,0.454,0.0,0.823,8.0,0.132,-1,1981,0.4146341463414634
25,25,17T,Otis Birdsong,25,KCK,0.0,7.0,690,0.01,71,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.28600000000000003,0.6970000000000001,8.2,0.152,-1,1981,0.4878048780487805
26,26,17T,Micheal Ray Richardson,25,NYK,0.0,7.0,690,0.01,79,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.6629999999999999,6.9,0.104,-1,1981,0.6097560975609756
27,27,19T,Truck Robinson,29,PHO,0.0,6.0,690,0.009000000000000001,82,37.7,18.8,9.6,2.5,0.8,0.5,0.505,,0.629,7.6,0.119,-1,1981,0.6951219512195121
28,28,19T,Reggie Theus,23,CHI,0.0,6.0,690,0.009000000000000001,82,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2,0.156,-1,1981,0.5487804878048781
29,29,21,Norm Nixon,25,LAL,0.0,5.0,690,0.006999999999999999,79,37.5,17.1,2.9,8.8,1.8,0.1,0.476,0.16699999999999998,0.778,5.5,0.08900000000000001,-1,1981,0.6585365853658537
